domain,rank_bucket,percentage
googletagmanager.com,[1-5k],67.46031746031747
googletagmanager.com,[5k-10k],76.19047619047619
googletagmanager.com,[10k-50k],79.03225806451613
googletagmanager.com,[50k-250k],80.80000000000001
googletagmanager.com,[250k-500k],80.95238095238095
googletagmanager.com,[500k-1000k],69.67213114754098
gstatic.com,[1-5k],54.761904761904766
gstatic.com,[5k-10k],70.63492063492063
gstatic.com,[10k-50k],67.74193548387096
gstatic.com,[50k-250k],69.6
gstatic.com,[250k-500k],79.36507936507937
gstatic.com,[500k-1000k],62.295081967213115
googleapis.com,[1-5k],52.38095238095239
googleapis.com,[5k-10k],67.46031746031747
googleapis.com,[10k-50k],64.51612903225806
googleapis.com,[50k-250k],68.0
googleapis.com,[250k-500k],84.92063492063492
googleapis.com,[500k-1000k],66.39344262295081
google.com,[1-5k],60.317460317460316
google.com,[5k-10k],66.66666666666666
google.com,[10k-50k],58.87096774193549
google.com,[50k-250k],62.4
google.com,[250k-500k],65.87301587301587
google.com,[500k-1000k],59.01639344262295
google-analytics.com,[1-5k],44.44444444444444
google-analytics.com,[5k-10k],52.38095238095239
google-analytics.com,[10k-50k],61.29032258064516
google-analytics.com,[50k-250k],56.00000000000001
google-analytics.com,[250k-500k],67.46031746031747
google-analytics.com,[500k-1000k],62.295081967213115
doubleclick.net,[1-5k],45.23809523809524
doubleclick.net,[5k-10k],56.34920634920635
doubleclick.net,[10k-50k],51.61290322580645
doubleclick.net,[50k-250k],44.800000000000004
doubleclick.net,[250k-500k],58.730158730158735
doubleclick.net,[500k-1000k],45.08196721311475
facebook.net,[1-5k],30.952380952380953
facebook.net,[5k-10k],26.190476190476193
facebook.net,[10k-50k],33.064516129032256
facebook.net,[50k-250k],32.0
facebook.net,[250k-500k],40.476190476190474
facebook.net,[500k-1000k],30.327868852459016
google.dk,[1-5k],25.396825396825395
google.dk,[5k-10k],36.507936507936506
google.dk,[10k-50k],25.0
google.dk,[50k-250k],28.000000000000004
google.dk,[250k-500k],36.507936507936506
google.dk,[500k-1000k],27.049180327868854
facebook.com,[1-5k],28.57142857142857
facebook.com,[5k-10k],23.809523809523807
facebook.com,[10k-50k],31.451612903225808
facebook.com,[50k-250k],28.799999999999997
facebook.com,[250k-500k],35.714285714285715
facebook.com,[500k-1000k],28.688524590163933
googlesyndication.com,[1-5k],22.22222222222222
googlesyndication.com,[5k-10k],42.06349206349206
googlesyndication.com,[10k-50k],32.25806451612903
googlesyndication.com,[50k-250k],29.599999999999998
googlesyndication.com,[250k-500k],23.015873015873016
googlesyndication.com,[500k-1000k],26.229508196721312
cloudflare.com,[1-5k],18.253968253968253
cloudflare.com,[5k-10k],23.015873015873016
cloudflare.com,[10k-50k],21.774193548387096
cloudflare.com,[50k-250k],23.200000000000003
cloudflare.com,[250k-500k],35.714285714285715
cloudflare.com,[500k-1000k],25.40983606557377
youtube.com,[1-5k],19.841269841269842
youtube.com,[5k-10k],26.984126984126984
youtube.com,[10k-50k],21.774193548387096
youtube.com,[50k-250k],20.0
youtube.com,[250k-500k],28.57142857142857
youtube.com,[500k-1000k],14.754098360655737
