rank,domain
1,Amazon.co.uk
2,Theguardian.com
3,Bbc.co.uk
4,Who.int
5,Google.co.uk
6,Webex.com
7,Edition.cnn.com
8,Dailymail.co.uk
9,Rt.com
10,Asos.com
11,Cambridge.org
12,Ebay.co.uk
13,Reuters.com
14,Bet365.com
15,Dw.com
16,Hm.com
17,Ft.com
18,Telegraph.co.uk
19,Independent.co.uk
20,Thesun.co.uk
21,Www.gov.uk
22,Express.co.uk
23,Euronews.com
24,Oup.com
25,Search.yahoo.com
26,Eset.com
27,Britishcouncil.org
28,Sky.com
29,Sap.com
30,Mirror.co.uk
31,Weforum.org
32,Metro.co.uk
33,News.sky.com
34,Jdsports.co.uk
35,Ubs.com
36,Economist.com
37,Espncricinfo.com
38,Thomann.de
39,Cosmopolitan.com
40,Nhs.uk
41,Royalmail.com
42,Aruba.it
43,United.com
44,Next.co.uk
45,Bt.com
46,Rte.ie
47,Tesco.com
48,Newsnow.co.uk
49,Voanews.com
50,Childrensalon.com
51,Thelancet.com
52,Babyshop.com
53,Argos.co.uk
54,Skysports.com
55,Channel4.com
56,Ryanair.com
57,Irishtimes.com
58,Advfn.com
59,Siemens.com
60,Lyst.co.uk
61,Rightmove.co.uk
62,Tnt.com
63,Theoutnet.com
64,Selfridges.com
65,Johnlewis.com
66,Thetimes.co.uk
67,Fxstreet.com
68,Dailystar.co.uk
69,Asda.com
70,Ucas.com
71,Here.com
72,Standard.co.uk
73,Wipo.int
74,Gumtree.com
75,Brownsfashion.com
76,Prnewswire.com
77,Newscientist.com
78,Radiotimes.com
79,Hotukdeals.com
80,Harrods.com
81,Virginmedia.com
82,Currys.co.uk
83,Topshop.com
84,Chrono24.com
85,Itv.com
86,Quidco.com
87,Easyjet.com
88,Hsbc.com
89,Sainsburys.co.uk
90,Riverisland.com
91,Macworld.co.uk
92,Serif.com
93,Harveynichols.com
94,Yougov.com
95,Aeroflot.ru
96,Nme.com
97,Active.com
98,Indeed.co.uk
99,Meltwater.com
100,Nokia.com
